LCCN URL,Title,Place of Publication,State,Latitude,Longitude,Dates of Publication,Number of Issues,Earliest Issue URL,Earliest Issue (YYYY-MM-DD),Earliest Issue Front Page URL,Latest Issue URL,Latest Issue (YYYY-MM-DD),List of Issues
https://www.loc.gov/item/sn83025352/,Gila bulletin.,Rivers,Arizona,33.065083,-111.830528,1945-1945,7,https://www.loc.gov/item/sn83025352/1945-09-08/ed-1/,9/8/1945,https://tile.loc.gov/image-services/iiif/service:sgp:sgpbatches:batch_dlc_anacostia_ver01:data:sn83025352:0023728866A:1945090801:0003/full/pct:12.5/0/default.jpg,https://www.loc.gov/item/sn83025352/1945-09-28/ed-1/,9/28/1945,https://www.loc.gov/collections/japanese-american-internment-camp-newspapers/?fa=partof_title%3Agila+bulletin+%28%5Brivers%2C+ariz.%5D%29+1945-1945
https://www.loc.gov/item/sn94050512/,Gila Co-op news.,Rivers,Arizona,33.065083,-111.830528,1943-1945,18,https://www.loc.gov/item/sn94050512/1943-06-17/ed-1/,6/17/1943,https://tile.loc.gov/image-services/iiif/service:sgp:sgpbatches:batch_dlc_anacostia_ver01:data:sn94050512:00237288683:1943061701:0883/full/pct:12.5/0/default.jpg,https://www.loc.gov/item/sn94050512/1945-07-07/ed-1/,7/7/1945,https://www.loc.gov/collections/japanese-american-internment-camp-newspapers/?fa=partof_title%3Agila+co-op+news+%28%5Brivers%2C+ariz.%5D%29+1943-1945
https://www.loc.gov/item/sn83025353/,Gila news-courier.,Rivers,Arizona,33.065083,-111.830528,1942-1945,410,https://www.loc.gov/item/sn83025353/1942-09-12/ed-1/,9/12/1942,http://tile.loc.gov/image-services/iiif/service:sgp:sgpbatches:batch_dlc_anacostia_ver01:data:sn83025353:00237288683:1942091201:0003/full/pct:12.5/0/default.jpg,https://www.loc.gov/item/sn83025353/1945-09-05/ed-1/,9/5/1945,https://www.loc.gov/collections/japanese-american-internment-camp-newspapers/?fa=partof_title%3Agila+news-courier+%28rivers%2C+arizona%29+1942-1945
https://www.loc.gov/item/sn83025332/,Official daily press bulletin.,Poston,Arizona,33.9875,-114.401111,1942-1942,62,https://www.loc.gov/item/sn83025332/1942-06-19/ed-1/,6/19/1942,http://tile.loc.gov/image-services/iiif/service:sgp:sgpbatches:batch_dlc_easternmarket_ver01:data:sn83025332:00237288610:1942061901:0172/full/pct:12.5/0/default.jpg,https://www.loc.gov/item/sn83025332/1942-12-21/ed-1/,12/21/1942,https://www.loc.gov/collections/japanese-american-internment-camp-newspapers/?fa=partof_title%3Aofficial+daily+press+bulletin+%28poston%2C+ariz.%29+1942-1942
https://www.loc.gov/item/sn83025348/,Official information bulletin.,Poston,Arizona,33.9875,-114.401111,1942-1942,32,https://www.loc.gov/item/sn83025348/1942-05-13/ed-1/,5/13/1942,https://tile.loc.gov/image-services/iiif/service:sgp:sgpbatches:batch_dlc_easternmarket_ver01:data:sn83025348:00237288610:1942051301:1281/full/pct:12.5/0/default.jpg,https://www.loc.gov/item/sn83025348/1942-06-18/ed-1/,6/18/1942,https://www.loc.gov/collections/japanese-american-internment-camp-newspapers/?fa=partof_title%3Aofficial+information+bulletin+%28poston%2C+ariz.%29+1942-1942
https://www.loc.gov/item/sn83025349/,Poston Christian church.,Poston,Arizona,33.9875,-114.401111,1942-1945,1,https://www.loc.gov/item/sn83025349/1942-12-11/ed-1/,12/11/1942,http://tile.loc.gov/image-services/iiif/service:sgp:sgpbatches:batch_dlc_dupontcircle_ver01:data:sn83025349:00237288610:1942121101:1146/full/pct:12.5/0/default.jpg,https://www.loc.gov/item/sn83025349/1942-12-11/ed-1/,12/11/1942,https://www.loc.gov/collections/japanese-american-internment-camp-newspapers/?fa=partof_title%3Aposton+christian+church+%28poston%2C+ariz.%29+1942-1945
https://www.loc.gov/item/sn83025333/,Poston chronicle.,Poston,Arizona,33.9875,-114.401111,1942-1945,492,https://www.loc.gov/item/sn83025333/1942-12-22/ed-1/,12/22/1942,http://tile.loc.gov/image-services/iiif/service:sgp:sgpbatches:batch_dlc_dupontcircle_ver01:data:sn83025333:00237288609:1942122201:0003/full/pct:12.5/0/default.jpg,https://www.loc.gov/item/sn83025333/1945-10-24/ed-1/,10/24/1945,https://www.loc.gov/collections/japanese-american-internment-camp-newspapers/?fa=partof_title%3Aposton+chronicle+%28poston%2C+ariz.%29+1942-1945
https://www.loc.gov/item/sn87062084/,Press bulletin.,Poston,Arizona,33.9875,-114.401111,1942-1942,98,https://www.loc.gov/item/sn87062084/1942-07-31/ed-1/,7/31/1942,http://tile.loc.gov/image-services/iiif/service:sgp:sgpbatches:batch_dlc_easternmarket_ver01:data:sn87062084:00237288610:1942073101:0563/full/pct:12.5/0/default.jpg,https://www.loc.gov/item/sn87062084/1942-12-20/ed-1/,12/20/1942,https://www.loc.gov/collections/japanese-american-internment-camp-newspapers/?fa=partof_title%3Apress+bulletin+%28poston%2C+ariz.%29+1942-1942
https://www.loc.gov/item/sn94050511/,Relocator news week.,Rivers,Arizona,33.065083,-111.830528,1943-194?,6,https://www.loc.gov/item/sn94050511/1943-10-07/ed-1/,10/7/1943,http://tile.loc.gov/image-services/iiif/service:sgp:sgpbatches:batch_dlc_anacostia_ver01:data:sn94050511:00237288683:1943100701:1296/full/pct:12.5/0/default.jpg,https://www.loc.gov/item/sn94050511/1944-01-20/ed-1/,1/20/1944,https://www.loc.gov/collections/japanese-american-internment-camp-newspapers/?fa=partof_title%3Arelocator+news+week+%28%5Brivers%2C+ariz.%5D%29+1943-194%3F
https://www.loc.gov/item/sn82016478/,Communique.,Denson,Arkansas,33.411667,-91.461111,1942-1943,41,https://www.loc.gov/item/sn82016478/1942-10-23/ed-1/,10/23/1942,https://tile.loc.gov/image-services/iiif/service:sgp:sgpbatches:batch_dlc_clarendon_ver01:data:sn82016478:00237288646:1942102301:0322/full/pct:12.5/0/default.jpg,https://www.loc.gov/item/sn82016478/1943-02-26/ed-1/,2/26/1943,https://www.loc.gov/collections/japanese-american-internment-camp-newspapers/?fa=partof_title%3Acommunique+%28denson%2C+ark.%29+1942-1943
